FileName,WER,NO. of words,NO. Added Words,NO. Missing Words,levenshtein Distance,Jacard Distance,Cosine similarity
remBigThink,0.20904836193447737,618,95,72,450,0.7721518987341772,0.9220167240189533
rainbow2,0.057750759878419454,324,17,12,52,0.9226519337016574,0.9935750411648896
TheCoolest,0.18557919621749408,878,97,129,468,0.7120879120879121,0.9726621214968555
monopoly,0.08551483420593368,577,36,40,119,0.8604651162790697,0.9863858471566667
klein,0.22492836676217765,691,104,97,604,0.7076023391812866,0.96473486387437
Justin_0A_USB_mic,0.9591836734693877,12,94,8,423,0.04054054054054054,0.3565120479536904
ytComments,0.14606741573033707,357,39,40,129,0.7453703703703703,0.961231123536962
fox,0.0,9,0,0,0,1.0,1.0
conversation,0.2167755991285403,954,127,163,563,0.7238979118329466,0.9350403145676452
