FileName,WER,NO. of words,NO. Added Words,NO. Missing Words,levenshtein Distance,Jacard Distance,Cosine similarity
remBigThink,0.1544461778471139,616,72,47,357,0.8537414965986394,0.9491832798589754
rainbow2,0.04559270516717325,325,12,8,69,0.9441340782122905,0.9954042174421356
TheCoolest,0.13120567375886524,863,63,80,392,0.815347721822542,0.9819715197657534
monopoly,0.04886561954624782,579,19,25,71,0.9146757679180887,0.991361505630784
klein,0.1819484240687679,663,95,60,603,0.8469055374592834,0.959911887415235
Justin_0A_USB_mic,0.41836734693877553,64,40,6,174,0.6197183098591549,0.8731561915759994
ytComments,0.08426966292134831,357,18,19,95,0.927461139896373,0.9696985102666813
fox,0.0,9,0,0,0,1.0,1.0
conversation,0.16122004357298475,925,108,115,513,0.7931034482758621,0.9371667015886905
