FileName,WER,NO. of words,NO. Added Words,NO. Missing Words,levenshtein Distance,Jacard Distance,Cosine similarity
remBigThink,0.16380655226209048,625,69,53,349,0.8377483443708609,0.9653033089243919
rainbow2,0.06382978723404255,327,19,17,68,0.9065934065934066,0.9917521886200424
TheCoolest,0.15839243498817968,877,80,111,385,0.7471526195899773,0.9788552289403807
monopoly,0.07155322862129145,575,29,31,98,0.888135593220339,0.9888565431043872
klein,0.22349570200573066,680,101,83,598,0.7696969696969697,0.9717230789017576
Justin_0A_USB_mic,0.1326530612244898,100,8,10,30,0.863013698630137,0.9598572866417425
ytComments,0.0898876404494382,362,20,26,68,0.8838383838383839,0.9758899204892435
fox,0.0,9,0,0,0,1.0,1.0
conversation,0.2178649237472767,953,136,171,598,0.7162790697674418,0.931375801382444
